Name,Gender,Eye Color,Hair Color,Superpowers,Weakness,Alignment,Status,Identity,Race,Skin Color,Can_Fly,Has_Claws,Healing_Factor,Uses_Magic,Wears_Armor,Super_Strength,Telepathy,Super_Speed,Shoots_Webs,Vulnerable_to_Magic,Vulnerable_to_Physical,Vulnerable_to_Energy,Is_Marvel,Is_DC,Is_X_Men,Is_Avenger,Is_Batman_Family,Is_Spider_Man_Family,Is_Fantastic_Four
Henry McCoy (Earth-616),Male,Blue,Blue,"Beast is a mutant., '''Genetic Atavism''': It is possible that Beast's mutation is a result of genetic atavism (or genetic traits that resurface in a species after many generations of dormancy). He also possesses neotenous (or traits in a descendant that resemble those of an ancestor organism) characteristics, which would explain why he has a big modern brain with an ape-like physique., Due to Secondary Mutation, Beast transformed from his original ape-like physique to a more cat-like physique. ",Human mortality / Physical trauma,Good,Living,Public Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
Susan Storm (Earth-616),Female,Blue,Blond,"The Invisible Woman received her powers when cosmic rays bombarded her body. Mr. Fantastic theorizes that Sue Storm's powers are vibrational energy from the higher dimension of Hyperspace (home of the Celestials). As yet, the only limit seems to be her own reserve; she is reluctant to stretch her powers until absolutely necessary. Hyperstorm stated that Sue barely scratches the surface of her true potential powers; she is also capable of creation and destruction., '''/:''' The Invisible Woman ha",Human mortality / Physical trauma,Good,Living,Public Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
Namor McKenzie (Earth-616),Male,Green,Black,"'''Mutant/Atlantean Physiology:''' Namor's powers come from his being a unique hybrid of Atlantean ''Homo mermanus'' and mutant ''Homo superior'' physiologies. Because of his unusual genetic heritage, Namor is unique among both ordinary humans and Atlanteans; he is sometimes referred to as ""Marvel's first mutant,"" because, while the majority of his observed superhuman powers come from the fact that he's a hybrid of Human and Atlantean DNA, his ability to fly can't be explained by either side (as",Human mortality / Physical trauma,Neutral,Living,No Dual Identity,Human,White,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
Ororo Munroe (Earth-616),Female,Blue,White,"''':''' Storm is an  with psionic power to control all forms and facets of the weather, atmosphere and manipulate energies. One of the primary sources of her powers on Earth is the electromagnetic field. Ororo is considered to be one of the most powerful mutants in the universe, her inherent raw power and potential has been stated to be nigh-infinite, or even incalculable.[https://books.google.com.br/books/about/The_Marvel_Book.html?id=A5mpDwAAQBAJ&redir_esc=y The Marvel Book: Expand Your Knowle",Human mortality / Physical trauma,Good,Living,Public Identity,Human,Black,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False
Clinton Barton (Earth-616),Male,Blue,Blond,"Enhanced Physical Capabilities, Combat Skills",Human mortality / Physical trauma,Good,Living,Public Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Matthew Murdock (Earth-616),Male,Blue,Red,"thumb|right|The Guardian Devil, '''Mutated Physiology:''' Murdock was originally enhanced by the radioactive isotope which later blinded him. As a result, he possesses superhuman senses of smell, hearing, taste, and touch, as well as a ""radar sense"". Nick Fury's intel classified him as power level 7., ''':''' Matt's agility and dexterity are similarly exceptional. While Matt was tied up, he managed to dodge point-blank range gunfire and to break ties at the same time. He even managed to avoid se",Human mortality / Physical trauma,Good,Living,Public Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Stephen Strange (Earth-616),Male,Grey,Black,"thumb|Doctor Strange unleashing the might of his mystic forces, '''Sorcery:''' Dr. Strange possesses a vast mastery of the mystic arts; his primary magical patrons are a group of entities known as ""the Vishanti."" The Vishanti are a trinity of godly beings comprised of Agamotto, Hoggoth, and Oshtur. Although he has, on rare occasions, called upon the power of demons such as Dormammu; Strange more frequently did so before he realized Dormammu's true dark nature in the earlier issues. He has once s",Human mortality / Physical trauma,Good,Living,Public Identity,Human,White,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Mary Jane Watson (Earth-616),Female,Green,Red,"'''Black-and-Gold Symbiotic Costume:''' Mary Jane possesses the typical powers of a host of the Venom symbiote:, '''''', '''''', '''''', '''''', '''''', '''''', '''''', '''Regenerative ''', '''''', '''Offspring Detection''', '''''', '''ESP''', '''Spider-Sense Immunity''', '''Constituent-Matter Generation''', '''Constituent-Matter Manipulation''', '''''', '''''', '''''', '''Spider-Man Detection''', '''Venomous Fangs''', '''''', '''Empathetic Empowerment'''",Human mortality / Physical trauma,Good,Living,No Dual Identity,Human,White,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
John Jonah Jameson (Earth-616),Male,Blue,Black,"| Abilities               = Jameson is trained in boxing and later, Tai Chi, therefore he is a trained combatant, proving his skills when he beat three men with only the use of boxing and street fighting techniques.",Human mortality / Physical trauma,Neutral,Living,No Dual Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Robert Drake (Earth-616),Male,Brown,Brown,"Iceman is an , He was also considered an '''Omega Level Mutate''' by Supergiant, an '''Alpha-Level mutant''' by Apocalypse, and a '''High Threat''' by the ONE. According to Prosh, his Comparative Mutagenic Power Register was of 3.2., On a day-to-day basis, Drake's powers aren't capable of their highest level of performance, but this potential has been unlocked on some occasions by various encounters- specifically with Loki, Mikhail Rasputin, and Emma Frost. On other occasions, his abilities were",Human mortality / Physical trauma,Good,Living,Secret Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
Henry Pym (Earth-616),Male,Blue,Blond,"'''Pym Particles:''' Repeated exposure to doses of Pym Particles have infused Pym's body with the Particles, granting him the ability to change size at will., ''':''' As both Ant-Man and Yellowjacket, Hank Pym possessed the power to reduce himself to the size of an ant, approximately one-half inch in height, by means of the subatomic particles known as Pym Particles. The nature, source, and mechanics of Pym Particles remain unrevealed. Originally, when Pym inhaled a gas or drank a potion contain",Human mortality / Physical trauma,Good,Living,Public Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Charles Xavier (Earth-616),Male,Blue,Bald / No Hair,"Charles Xavier is an '''Alpha-Level Mutant''', and later confirmed as an '''Omega-Level Telepath'''. Said to possess the most powerful brain in existence, and to be the world's greatest telepath possessing vast psionic powers:, ''':''' Xavier is able to read minds and project his own thoughts into the minds of others within a radius of 250 miles (on Earth). With extreme effort he can greatly extend that radius. When synced with Cerebro or Cerebra, he can connect to every mind on a planet. After ",Human mortality / Physical trauma,Good,Deceased,Public Identity,Human,White,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False
Warren Worthington III (Earth-616),Male,Blue,Blond,"Warren is a mutant and possibly a Cheyarafim. Initially, he only had the ability of winged flight, but later gained a healing factor, possibly coming from either his possible Cheyarafim legacy, a Secondary Mutation or Apocalypse's manipulation. During his life he has been transformed by both Death Seed and Life Seed, that gave him various abilities. , Archangel originally lacked his wings and only retained some vestige of his mutant powers partial to the Life Seed, but after undergoing a merger ",Human mortality / Physical trauma,Good,Living,Public Identity,Human,White,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
Piotr Rasputin (Earth-616),Male,Blue,Black,''':''' Colossus is a mutant with power to convert the tissues of his entire body into an organic metal substance that appears to be analogous to osmium and to carbon steel. He is able to transform into this armor-like state at will (the process is virtually instantaneous) and remain in that form for an as yet undetermined amount of time. The longest time he has remained in armored form by choice so far has been five days. Once in his armored form he remains so until he consciously wills himself,Human mortality / Physical trauma,Good,Living,Secret Identity,Human,White,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False
Wanda Maximoff (Earth-616),Female,Green,Brown,"Scarlet Witch is among the most powerful magic wielders on Earth, and is widely recognized as the most powerful witch in existence. Born from a lineage of powerful warlocks and witches, she possesses a natural and unmatched affinity for magic. As a newborn on Mount Wundagore, her potential was identified and later amplified to an extreme degree when she became bound to Chthon, the Elder-God of chaos, who sought to use her growing power to free himself from his dimension. In exchange for marking ",Human mortality / Physical trauma,Good,Living,Public Identity,Human,White,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Nicholas Fury (Earth-616),Male,Brown,Brown,"Enhanced Physical Capabilities, Combat Skills",Human mortality / Physical trauma,Neutral,Living,No Dual Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Janet van Dyne (Earth-616),Female,Blue,Auburn,"Enhanced Physical Capabilities, Combat Skills",Human mortality / Physical trauma,Good,Living,Public Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Jean Grey (Earth-616),Female,Green,Red,"Jean Grey is an Omega-level mutant. She is also an Omega-Level telepath, as well as an Omega-Level telekinetic. She is the most notable, powerful and skilled telepath in the entire Marvel Universe and is among the most powerful psions, described as the most powerful person in the universe endowed with limitless potential. She is also one with the Phoenix Force, allegedly ""second only to that of the Creator."" She also was considered to be a ''""mutant '''Alpha-Psi'''""'', an '''Alpha Level Telepath",Human mortality / Physical trauma,Good,Deceased,Public Identity,Mutant,White,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False
Natalia Romanova (Earth-616),Female,Green,Red,"Enhanced Physical Capabilities, Combat Skills",Human mortality / Physical trauma,Good,Living,Public Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Kurt Wagner (Earth-616),Male,Yellow,Blue,"Nightcrawler is a mutant with the following abilities:,  ''''':''''' Ability to teleport himself, the clothes he is wearing, and within limits a certain amount of additional mass which is in contact with him. He teleports by displacing himself into the Brimstone Dimension, traveling through it, and then returning to his own dimension at a certain distance from his point of departure. He consciously determines his point of return. The entire process occurs so quickly that Nightcrawler is unaware ",Human mortality / Physical trauma,Good,Living,Secret Identity,Human,White,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False
Vision (Earth-616),Male,Gold,Bald / No Hair,"'''Synthezoid Physiology''': The Vision possesses a number of superhuman powers ultimately derived from his artificial substance and metabolism. The Vision's android body is a functioning replica of a human body containing analogues to virtually all human organs, blood, and tissue, composed of an unrevealed synthetic organic-like substance, presumably Horton Cells. This substance mimics all the functions of human tissue, but is several times as strong, durable and resilient., '''Computer Brain:'",Human mortality / Physical trauma,Good,Living,Secret Identity,Android,Red,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
May Reilly (Earth-616),Female,Blue,Grey,| Abilities               =,Human mortality / Physical trauma,Good,Living,No Dual Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Katherine Pryde (Earth-616),Female,Hazel,Brown,"Kitty is a mutant whom Nick Fury's intel classified her as power level 7., ''':''' Kitty possesses the ability to alter her bodily mass in order to sift through solid matter and objects by passing her atoms through the spaces between the molecules of the object through which she is moving. In this way she and the object through which she is passing could temporarily merge without interacting, and each is unharmed when Kitty had finished passing through the object. This process is called ""phasing",Human mortality / Physical trauma,Good,Living,Secret Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
Carol Danvers (Earth-616),Female,Blue,Blond,"Carol Danvers is a Human/Kree Hybrid whose latent genetic makeup and warrior instincts were triggered after being exposed to the Psyche-Magnitron machine fueled by the cosmic Nega-Bands, a process which turned her into a flying powerhouse. Moreover, she was subjected to experiments performed by cruel Brood scientists that physically linked her to primal forces of the universe. Since then, she has been able to absorb, process and rechannel diverse forms of energy. She was reputed as one of the mo",Human mortality / Physical trauma,Good,Living,Public Identity,Human,White,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Jennifer Walters (Earth-616),Female,Green,Brown,"'''Gamma Mutate Physiology:''' As a result of a blood transfusion from her cousin Bruce Banner, the Hulk, Jen Walters was imbued with the power of the One Below All and became a gamma mutate with abilities similar to her cousin's., thumb|right|Jennifer Walters turning into She-Hulk,  '''Physical Transformation:''' Jennifer Walters is able to alter her physical form into a female version of the Hulk. In her standard She-Hulk form, Walters' skin and hair turn green, as she grows several inches and",Human mortality / Physical trauma,Good,Living,Public Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Emma Frost (Earth-616),Female,Blue,Blond,"Emma Frost is a Sentinel-classified '''Omega-Level Threat''' who possesses vast telepathic abilities of a similar caliber to those belonging to Charles Xavier, over which she has an extremely refined level of skill. Frost has been cited as a ""World-class telepath"", ""'''Omega Class Telepath'''""[http://emmafrostfiles.com/2009/09/fraction-discusses-emma-frost-in-nation-x/ Emmafrostfile.com internet page of Marvel.com interview] of Matt Fraction She has mind controlled a building full of people for ",Human mortality / Physical trauma,Neutral,Living,Public Identity,Human,White,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False
Frank Castle (Earth-616),Male,Blue,Black,"Enhanced Physical Capabilities, Combat Skills",Human mortality / Physical trauma,Neutral,Living,Public Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Luke Cage (Earth-616),Male,Brown,Black,"'''Burstein Process:''' Luke Cage possesses various superhuman physical enhancements after undergoing a Super-Soldier experiment known as the Burstein Process, which was designed to increase his body's cellular regeneration rate.,  ''':''' thumb|200px|thumb|Luke Cage lifting a large bulldozer over his head with easeAfter undergoing the original experiment, Cage's strength was increased to superhuman levels. Initially, it was only sufficient enough to lift approximately 5 tons. However, with exte",Human mortality / Physical trauma,Good,Living,No Dual Identity,Human,Black,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
Rogue (Anna Marie) (Earth-616),Female,Green,Brown / white,"Rogue is a mutant with the uncontrollable ability of absorbing the energy and psyche of living creatures through any slight physical contact. The result, which is usually temporary, leaves Rogue with memories, personality, talents, and even physical traits of her victims. In the case of superhumans, Rogue is able to manifest and deploy their superpowers as well. In some specific situations, the transfer was proven to be permanent. Most prominently, Rogue had the genetic makeup and mind of Carol ",Human mortality / Physical trauma,Good,Living,Secret Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
Conan (Earth-616),Male,Blue,Black,"''' Peak Human Strength:''' Conan possessed strength way over the hardiest of his race. Conan was physically one of the most powerful humans who ever lived, considered as having the strength of ten to twenty men. Yet, he did not have the strength of a demi-god of legend, and would be staggered by two men's combined momentum and weight., '''Peak Human Durability:''' Conan's great physical size, musculature and mental toughness is considered to have the ability to withstand injury superior to thos",Human mortality / Physical trauma,Neutral,Living,No Dual Identity,Human,White,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
Joseph Robertson (Earth-616),Male,Brown,White,| Abilities               =,Human mortality / Physical trauma,Good,Living,No Dual Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Pietro Maximoff (Earth-616),Male,Blue,Silver,"'''Speed Physiology:''' Pietro's body is adapted towards the rigors of high-speed running. His cardiovascular and respiratory systems are many times more efficient than those of a normal human being. He metabolizes an estimated 95% of the caloric energy content of foodstuffs (normal humans use about 25%). The chemical processes of Quicksilver's musculature are so highly enhanced that his body does not generate fatigue poisons, the normal by-products of locomotion, which force the body to rest. R",Human mortality / Physical trauma,Good,Living,Public Identity,Human,White,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
Hercules (Earth-616),Male,Blue,Brown,"Intelligence: 63, Strength: 100, Speed: 46, Durability: 85, Power: 89, Combat: 100",Human mortality / Physical trauma,Good,Living,No Dual Identity,Demi-God,White,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False
Victor von Doom (Earth-616),Male,Brown,Brown,"thumb|Dr. Doom using his mystic powers, Doctor Doom's potential in the mystic arts comes from the Roma heritage of his mother. It all started after her death, when he came across the trunk containing his mother's various mystical artifacts, that he spent years mastering. He further developed his abilities with a secret order of monks in Tibet, within five years he mastered all they knew and surpassed their abilities himself. He further developed his abilities by traveling through time and learni",Human mortality / Physical trauma,Bad,Living,Public Identity,Human,White,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
Max Eisenhardt (Earth-616),Male,Grey,Bald / No Hair,"Magneto was previously thought of being an '''Alpha-level mutant''', but has been recently confirmed to be Omega-level mutant. He has been stated on several occasions to have been one of the most powerful mutants, he has also been described several times as '''the '''most powerful mutant, Earth's most powerful super villain, even the single most powerful being on the face of the Earth. He possesses tremendous amounts of power, which is, for all practical purposes, limitless. The upper limits of ",Human mortality / Physical trauma,Neutral,Living,Public Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
Elizabeth Braddock (Earth-616),Female,Blue,Purple,"Betsy Braddock is a powerful mutant psychic, manifesting a vast and ever-changing array of telepathic and telekinetic abilities that have evolved and grown throughout the years. Her innate gifts are complemented by the magical attributes of the Captain Britain empowering mantle, granting her flight and boosted physical capacities, which she wielded at different stages of her life., ''':''' Possessing formidable mental powers, Braddock has the ability to interact with, affect and manipulate the m",Human mortality / Physical trauma,Neutral,Living,Secret Identity,Human,White,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False
Norrin Radd (Earth-616),Male,Blue,Bald / No Hair,"thumb|Wielder of the Power Cosmic, The Silver Surfer is one of the most powerful beings in the universe, and the most powerful of the Heralds of Galactus. He was deemed to be an ''' threat''' by the Galadorian Spaceknight Ikon, and '''''' by the Nova Corps. , The Silver Surfer normally holds back and don't use his full power, but he is powerful enough to easily shatter planets, destroy a large fraction of a structure whose size easily dwarfed Earth, or even a compact star. Upon merging his essen",Human mortality / Physical trauma,Good,Living,Public Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Norman Osborn (Earth-616),Male,Blue,Auburn,"'''Green / Gold Goblin''', '''Goblin Formula:''' Thanks to the chemical composition of the Goblin Formula, Osborn gained the following abilities:,  ''':''' Osborn can easily overpower humans by lifting them up with one hand or by hurling them around. He can also lift extremely heavy objects, crush and break through wood panels and templates, bend metal, and can punch through glass without gaining injury. As shown on many occasions, Osborn could match Spider-Man even before bonding with the Carna",Human mortality / Physical trauma,Bad,Living,Public Identity,Human,White,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False
Eugene Thompson (Earth-616),Male,Blue,Strawberry Blond,"'''Primordial Dragon Symbiote/Anti-Venom III:''' The Anti-Venom III symbiote grants Flash the following powers;, '''''': As Agent Anti-Venom, Flash can lift up to 11 tons., '''''', '''''', '''''': The Symbiote grants Flash protection from physical injury., '''''': The Symbiote enhances Flash's agility to superhuman levels., '''''', '''''': Flash can project the substance of his suit as organic webbing., '''''': The Symbiote grants Flash vast healing abilities and can even reattach severed limbs.",Human mortality / Physical trauma,Good,Living,Secret Identity,Human,White,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False
Simon Williams (Earth-616),Male,Red,Grey,"''':''' The tissue and bones of his entire body have been augmented in strength and to a certain extent supplanted by Pym Particle charged iota in the ""ionic ray"" bombardment procedure. Despite Wonder Man's statements that he is composed of ""ionic energy,"" since his last revival, his physiology has changed a great deal and it's not clear if his external form is ionic energy or flesh. He stated during an incident in which all the living things in New York had been morphed into symbiotes that he w",Human mortality / Physical trauma,Good,Living,Public Identity,Human,White,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False
Samuel Guthrie (Earth-616),Male,Blue,Blond,"Cannonball is a mutant., ''' ''': Cannonball possesses the ability to bodily generate thermo-chemical energy and release it from his skin. This energy is used as thrust to cause his body to be propelled through the air, like his namesake, at great heights and speeds with considerable maneuverability. He can control his speed and direction through sheer act of will. At first, he could only release this energy from his feet, but now he can fire it from almost any part of his body to a wide variety",Human mortality / Physical trauma,Good,Living,Secret Identity,Human,White,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False
James Buchanan Barnes (Earth-616),Male,Brown,Brown,"'''Enhanced Physical Conditioning:''' James Buchanan Barnes has been injected with a perfected version of the Infinity Formula by Nick Fury in order to save his life. As a result, Barnes' body was enhanced to the peak of human potential of strength, agility, stamina, speed, etc. The formula is definite such that if Barnes decided to live an unhealthy lifestyle, none of his powers would be weakened by any conventional means., '''Peak Human Strength:''' Barnes' strength is enhanced to the very pea",Human mortality / Physical trauma,Good,Living,Secret Identity,Human,White,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False
Remy LeBeau (Earth-616),Male,Black,Brown,"thumb|200px|Showing his hand, ''':''' Remy has the power to take the potential energy stored in an object and convert it to kinetic energy, thus ""charging"" that item with explosive results. He prefers to charge smaller objects, such as his ever-present playing cards, as the time required to charge them is greatly reduced and they are much easier for him to throw. The only real limitation to this ability is the time required to charge the object. The larger it is, the more time it takes., Most ch",Human mortality / Physical trauma,Good,Living,Secret Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Daniel Rand (Earth-616),Male,Blue,Blond,"'''Divine Empowerment:'''  After he was killed by the Ch'i-Lin and his spirit was sent to the Underworld, Danny was resurrected as the Ghost Fist by Osiris, who bestowed him with new powers that were similar to his former Iron Fist powers, as well as some additional ones. , thumb|right|175px|''The Rays of Ra'',  ''':'''  Danny can harness a mystical purple colored energy that acts similarly to the chi of Shou-Lao the Undying.  The energy bestowed by Osiris can be used to exorcise demons and make",Human mortality / Physical trauma,Good,Living,Secret Identity,Human,White,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Nathan Summers (Earth-616),Male,Blue,White,"Cable is an '''Alpha Level mutant'''. He has been stated to be an '''Omega-Level mutant''', though he is not included in the Krakoan list of known Omega-Level mutants. A vastly powerful telepath (he once claimed, before his powers burned out, that he was the world's most powerful telepath), he was classified as an '''Alpha-Level Telepath''', and an '''Alpha-Level''' and '''Omega Level Telekinetic'''., As an infant Cable was infected with the Techno-Organic Virus and, for the majority of his life",Human mortality / Physical trauma,Neutral,Living,Public Identity,Human,White,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False
Elizabeth Brant (Earth-616),Female,Brown,Brown,"| Abilities               = , '''Eidetic Memory''': Betty has a photographic memory., '''Martial Arts''': Betty is skilled in various martial arts.",Human mortality / Physical trauma,Good,Living,No Dual Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Richard Jones (Earth-616),Male,Brown,Brown,"Enhanced Physical Capabilities, Combat Skills",Human mortality / Physical trauma,Good,Living,Secret Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Edwin Jarvis (Earth-616),Male,Blue,White,"Enhanced Physical Capabilities, Combat Skills",Human mortality / Physical trauma,Good,Living,No Dual Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Alexander Summers (Earth-616),Male,Blue,Blond,"Alex is an '''Alpha-Level Mutant''' granted the following abilities:, '''Ambient :''' Havok absorbs ambient cosmic energy into the cells of his body and processes it into plasma. This results in control over an extremely powerful sort of destructive force. At times he is not entirely able to control this ability, which sometimes makes him a danger to those around him unless he wears a special containment suit to assist him. Havok's body is constantly in the process of absorbing cosmic radiation.",Human mortality / Physical trauma,Good,Living,Public Identity,Human,White,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False
